"canonical_locality_id","arabic_name","source_id","source_record_id","source_url","source_sha256","match_method","review_status","review_reference"
"LB-LOC-D95D4EB48474","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3807E0FD34D3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C78897BE2188","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CAC2DF4673CE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-1D9D6BB181C3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-89F44557728E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-8A887EC2BBEC","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-D1E27C886D99","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-703DD14E05F4","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-392676BFBF5C","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-1210F92878B1","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-6FCC73EACF9D","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-83718625E2A3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-5D0495937246","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7B8A00BA5338","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3F00D5FD7EF5","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-ED3C4B5D4247","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F713C3A2B93B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C3333844C303","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-EB8283314F75","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-272066AAD126","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3C90AD1ACDBE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-BDE4D736C87E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CE378FE8128F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-40ED7ACAF369","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-510296713BDE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B66B5BBF66B2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-633840720CAE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C32B9AAA21E7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-BAD392B148DE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7D1E2FE77186","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-BF5236F9570F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-BB3C493ED391","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-26B2CC945A62","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-5585D40ECDD3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-6503FE0A12EE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-803B7E6E2C0A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-94B4BFD52506","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-8ABCDA212641","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CACF77D152D9","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-E76A62380CC7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CC7C47D584F0","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F82DCF154CA4","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C5A34CB888B7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-28A8E7066DD1","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4722B019DF4E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-24C64D00E348","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0912C410B726","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-EB7F9134280A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-191DED7EE627","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-20EB6A766D66","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A37AECF7057F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-055C0FBC6471","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-95CE13F6BDB8","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F912703D20C7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-A129940E5CC1","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F69982B7E606","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-014CFD8CEA1A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-9C28088D8969","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0E32C8A307A0","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-ADB5D4B39DE8","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-82165709EA26","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-1D9F06680A51","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7CD7BE21D579","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-06E22DD03AEA","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-E0C61C385583","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CE1BABE64309","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-613D1A74DDAA","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C2B6681FC5A2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-700CFD1070E7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-93B1253D042E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-64C035EAA741","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-ED5B1FAAC906","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7F5B562255E0","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-47C8E7996010","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-DE0A32411E6F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-78B99565FCF6","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-10FE39373799","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-727D0F5D0B76","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-565C557D4FA3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-822A46FEA480","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F73268E85530","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-40718AAA82D4","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CA980F4AC6CE","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3B9FCBAAF9FB","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-DCED4F215FED","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-7AC3DC0F96F8","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-9B2FCA7E9C8B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CF9D55ACE9DF","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-245CEC1B7EE3","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-2368651F9ED9","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C19473E9163C","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-4E16791675F2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-24D44D71D0E0","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-3440DC5E8DF9","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-E22F56ABAAA8","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-FFFC8D597A8F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-01732CB3EEC9","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-EDA19EA18A68","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-597269700C8E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-8A5857947D85","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C4B5496FEBA7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-2E4E9AABB9B6","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-0F07926E2048","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
