"id","countryCode","governorateId","districtId","municipalityId","cadastralCode","pcode","nameAr","nameEn","nameFr","kind","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus","verifiedStatus","aliases","sourceRecordId","active","provenance"
"LB-LOC-35441","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35441","دير جنين","Deir Jannine","","populated-place","34.56660852","36.17642791","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35441","true","[object Object]"
"LB-LOC-35432","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35432","دبابية","Dibbabiyeh","","populated-place","34.62704141","36.20866385","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35432","true","[object Object]"
"LB-LOC-35318","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35318","دنبو عين الذهب","Dinbou","","populated-place","34.48903737","36.08430394","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35318","true","[object Object]"
"LB-LOC-35443","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35443","دوير عدويه","Douair Aadouiyeh","","populated-place","34.58020723","36.17220345","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35443","true","[object Object]"
"LB-LOC-35353","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35353","النبي خالد","Fnaydeq","","populated-place","34.45923044","36.22006118","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35353","true","[object Object]"
"LB-LOC-35412","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35412","فريديس","Fraydes Aakkar","","populated-place","34.61736032","36.2272085","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35412","true","[object Object]"
"LB-LOC-35475","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35475","الغزيله","Ghazayleh","","populated-place","34.59739042","36.10952871","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35475","true","[object Object]"
"LB-LOC-35326","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35326","حبشيت","Habchit","","populated-place","34.46770132","36.09094061","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35326","true","[object Object]"
"LB-LOC-35131","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35131","مشيلحة الحاكور","Hakour","","populated-place","34.52513775","36.05302755","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35131","true","[object Object]"
"LB-LOC-35111","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35111","حلبا","Halba","","populated-place","34.55468929","36.07270725","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35111","true","[object Object]"
