"id","value","normalizedValue","language","localityId","provenance","active"
"LB-ALIAS-974C7215E3E4","Hilaliyeh","hilaliyeh","en","LB-LOC-3E3C48594E79","[object Object]","true"
"LB-ALIAS-23F544E17F84","Houch_Saida","houch_saida","en","LB-LOC-CFCA6334B58B","[object Object]","true"
"LB-ALIAS-303D39F12100","Houch_el-Oumara-SD","houch_el oumara sd","en","LB-LOC-1D72B217A5CF","[object Object]","true"
"LB-ALIAS-953E21482D6A","Jinsnaya","jinsnaya","en","LB-LOC-046F6ABF1A4E","[object Object]","true"
"LB-ALIAS-131423CD93C4","Kfar_Jarra","kfar_jarra","en","LB-LOC-0483C9CD3E42","[object Object]","true"
"LB-ALIAS-098E01116C95","Lebaa","lebaa","en","LB-LOC-4E20C99079C9","[object Object]","true"
"LB-ALIAS-A27F12BE2A45","Maaroub","maaroub","en","LB-LOC-0A0D18E2F555","[object Object]","true"
"LB-ALIAS-92B01FCFA435","Maghdoucheh","maghdoucheh","en","LB-LOC-B9885E532583","[object Object]","true"
"LB-ALIAS-2CA4D4E2921C","Majdaliyoun","majdaliyoun","en","LB-LOC-7BAFE4E1590D","[object Object]","true"
"LB-ALIAS-9819DB2523E2","Marjan","marjan","en","LB-LOC-AACD109E1AFF","[object Object]","true"
"LB-ALIAS-CA4331E19837","Mazraat_el-Halqa","mazraat_el halqa","en","LB-LOC-39FDEB6BB54C","[object Object]","true"
"LB-ALIAS-6E7D1B191F3C","Qaaqayet_ej-Jisr","qaaqayet_ej jisr","en","LB-LOC-24A29557AB4F","[object Object]","true"
"LB-ALIAS-72515D0D4752","Qna-SD","qna sd","en","LB-LOC-0FD164221E4B","[object Object]","true"
"LB-ALIAS-C98302348DCF","Qnariye","qnariye","en","LB-LOC-49F7F2F1B12B","[object Object]","true"
"LB-ALIAS-291F475FDEF3","Qrayye","qrayye","en","LB-LOC-A0A512510253","[object Object]","true"
"LB-ALIAS-DBE7CB70102C","Rjal","rjal","en","LB-LOC-ACFD4971A682","[object Object]","true"
"LB-ALIAS-A2BA5E8DD170","Rjaliye","rjaliye","en","LB-LOC-30BA8677753E","[object Object]","true"
"LB-ALIAS-655EF3BBDA5F","Saida_Sidon","saida_sidon","en","LB-LOC-9BAC422F2A4B","[object Object]","true"
"LB-ALIAS-205BF3827B13","Saida_ech-Charqiye","saida_ech charqiye","en","LB-LOC-2BD65F3E32E4","[object Object]","true"
"LB-ALIAS-5BE7AA070975","Saida_el-Qadimeh","saida_el qadimeh","en","LB-LOC-8B7B13691E8D","[object Object]","true"
"LB-ALIAS-5291B4F1AE14","Saida_es-Sahel","saida_es sahel","en","LB-LOC-030C678A9E38","[object Object]","true"
"LB-ALIAS-B6CCCA6FA8A6","Saqyet_el-Maydani","saqyet_el maydani","en","LB-LOC-311057F2A585","[object Object]","true"
"LB-ALIAS-1C63B81C3FF5","Srafand","srafand","en","LB-LOC-A33AF4EBC287","[object Object]","true"
"LB-ALIAS-28130590066C","Tfahta","tfahta","en","LB-LOC-4D6EED858C14","[object Object]","true"
"LB-ALIAS-5B129272589A","Zararieh","zararieh","en","LB-LOC-80E0EFD1815D","[object Object]","true"
"LB-ALIAS-93ED2BDE8CBA","Zararieh_el-Aalya","zararieh_el aalya","en","LB-LOC-89E5EDAFED08","[object Object]","true"
"LB-ALIAS-24D4779A1B99","Zeneyleh","zeneyleh","en","LB-LOC-A8AAD2F2ADE0","[object Object]","true"
"LB-ALIAS-ED91FED52E60","Aaqbeh","aaqbeh","en","LB-LOC-055D9205B2DA","[object Object]","true"
"LB-ALIAS-61B9AC5083D2","Aarbsalim","aarbsalim","en","LB-LOC-29E2191655D3","[object Object]","true"
"LB-ALIAS-31C41EFF18C4","Abbassiyeh","abbassiyeh","en","LB-LOC-A5FA163ACDEA","[object Object]","true"
"LB-ALIAS-BE6725BDC113","Abbassiyeh_el-Fawqa","abbassiyeh_el fawqa","en","LB-LOC-EA803C1129F0","[object Object]","true"
"LB-ALIAS-0960B51F2B5B","Ain_Baal-SR","ain_baal sr","en","LB-LOC-E114750B08B5","[object Object]","true"
"LB-ALIAS-4D890AC867E5","Ain_Ibl","ain_ibl","en","LB-LOC-4C6753B3439C","[object Object]","true"
"LB-ALIAS-50FAECA9F793","Ain_ez-Zarqa","ain_ez zarqa","en","LB-LOC-A5862F267AED","[object Object]","true"
"LB-ALIAS-603B97AF4A10","Ain_ez-Zarqa_el-Fawqa","ain_ez zarqa_el fawqa","en","LB-LOC-582E7260C8F1","[object Object]","true"
"LB-ALIAS-AA13D6FED2A0","Ainata_Sour","ainata_sour","en","LB-LOC-16D15E01168A","[object Object]","true"
"LB-ALIAS-4D48667E37CE","Aita_el-Jabal","aita_el jabal","en","LB-LOC-B571AACD19E6","[object Object]","true"
"LB-ALIAS-29D57B0FCF9F","Aitharoun","aitharoun","en","LB-LOC-01D1D08F35D9","[object Object]","true"
"LB-ALIAS-C0098FC548A8","Almane","almane","en","LB-LOC-71DAA0CA2FA3","[object Object]","true"
"LB-ALIAS-5E003A8905A3","Aychiye","aychiye","en","LB-LOC-C892FD989A8C","[object Object]","true"
"LB-ALIAS-03D2F4BB172A","Aytit","aytit","en","LB-LOC-FDFA8EB254EE","[object Object]","true"
"LB-ALIAS-04EC2A0404B0","Aytit_el-Aala","aytit_el aala","en","LB-LOC-03133BDD2124","[object Object]","true"
"LB-ALIAS-61B2F4DC4121","Babliye-SR","babliye sr","en","LB-LOC-C9A8D1A31830","[object Object]","true"
"LB-ALIAS-81C21CC5DC8F","Batouliyeh","batouliyeh","en","LB-LOC-F904CF431315","[object Object]","true"
"LB-ALIAS-B4CD535A0C48","Bayada-SR","bayada sr","en","LB-LOC-DBCE3F80AB4D","[object Object]","true"
"LB-ALIAS-CDD48D80FAC3","Bazouriyeh","bazouriyeh","en","LB-LOC-B2125A9C18C8","[object Object]","true"
"LB-ALIAS-2A43BA9546F4","Beit_Layf-SR","beit_layf sr","en","LB-LOC-7F8AB2B0317D","[object Object]","true"
"LB-ALIAS-6B762842467B","Beit_Yahoun","beit_yahoun","en","LB-LOC-98E63629FE64","[object Object]","true"
"LB-ALIAS-29C88441EA41","Beit_Yahoun_Sour","beit_yahoun_sour","en","LB-LOC-2F4611A7D534","[object Object]","true"
"LB-ALIAS-64BFB72FC4BB","Bint_Jbeil_el-Fawqa-SR","bint_jbeil_el fawqa sr","en","LB-LOC-A01F0A85F2AA","[object Object]","true"
"LB-ALIAS-34037D89710F","Burj-SR","burj sr","en","LB-LOC-262BD6DD59C8","[object Object]","true"
"LB-ALIAS-D584CE02CF5A","Burj_Qlawiye","burj_qlawiye","en","LB-LOC-9CD85B2FA303","[object Object]","true"
"LB-ALIAS-296CE1F3DC87","Burj_el-Chemali","burj_el chemali","en","LB-LOC-ADD909F984CB","[object Object]","true"
"LB-ALIAS-D6FCDDCE9C07","Burj_el-Moulouk","burj_el moulouk","en","LB-LOC-3DD0AAEA24B1","[object Object]","true"
"LB-ALIAS-85AFA712CBAB","Chahabiye","chahabiye","en","LB-LOC-D0BF0895ED43","[object Object]","true"
"LB-ALIAS-D7C277E2DE67","Chaitiye","chaitiye","en","LB-LOC-42DD0D7A489D","[object Object]","true"
"LB-ALIAS-ADFE6AD6D545","Chaqra","chaqra","en","LB-LOC-18F1AECED55A","[object Object]","true"
"LB-ALIAS-C2B119D81CD2","Debl","debl","en","LB-LOC-91D5CD671564","[object Object]","true"
"LB-ALIAS-283017E50A38","Deir_Qanoun_Ras_el-Ain","deir_qanoun_ras_el ain","en","LB-LOC-DC923F159A69","[object Object]","true"
"LB-ALIAS-97CF9DD39DD1","Deir_Qanoun_en-Nahr","deir_qanoun_en nahr","en","LB-LOC-279D46872642","[object Object]","true"
"LB-ALIAS-13EA8D4172CF","Dhor-SR","dhor sr","en","LB-LOC-A15D10812FBE","[object Object]","true"
"LB-ALIAS-25E7269F5305","Hadatha","hadatha","en","LB-LOC-4F6AB88F5F6B","[object Object]","true"
